id,title,author,publication_date,genres,summary,number_of_genres,len_summary_char,len_summary_words
1756,an enquiry concerning human understanding,david hume,,[],the argument of the enquiry proceeds by a series of incremental steps separated into chapters which logically succeed one another after expounding his epistemology hume explains how to apply his principles to specific topics in the first section of the enquiry hume provides a rough introduction to philosophy as a whole for hume philosophy can be split into two general parts natural philosophy and the philosophy of human nature or as he calls it moral philosophy the latter investigates both actions and thoughts he emphasizes in this section by way of warning that philosophers with nuanced thoughts will likely be cast aside in favor of those whose conclusions more intuitively match popular opinion however he insists precision helps art and craft of all kinds including the craft of philosophy next hume discusses the distinction between impressions and ideas by impressions he means sensations while by ideas he means memories and imaginings according to hume the difference between the two is that ideas are less vivacious than impressions for example the idea of the taste of an orange is far inferior to the impression or sensation of actually eating one writing within the tradition of empiricism he argues that impressions are the source of all ideas hume accepts that ideas may be either the product of mere sensation or of the imagination working in conjunction with sensation according to hume the creative faculty makes use of at least four mental operations which produce imaginings out of senseimpressions these operations are compounding or the addition of one idea onto another such as a horn on a horse to create a unicorn transposing or the substitution of one part of a thing with the part from another such as with the body of a man upon a horse to make a centaur augmenting as with the case of a giant whose size has been augmented and diminishing as with lilliputians whose size has been diminished hume 1974317 in a later chapter he also mentions the operations of mixing separating and dividing hume 1974340 however hume admits that there is one objection to his account the problem of the missing shade of blue in this thoughtexperiment he asks us to imagine a man who has experienced every shade of blue except for one see fig 1 he predicts that this man will be able to divine the color of this particular shade of blue despite the fact that he has never experienced it this seems to pose a serious problem for the empirical account though hume brushes it aside as an exceptional case by stating that one may experience a novel idea that itself is derived from combinations of previous impressions hume 1974319 in this chapter hume discusses how thoughts tend to come in sequences as in trains of thought he explains that there are at least three kinds of associations between ideas resemblance contiguity in spacetime and causeandeffect he argues that there must be some universal principle that must account for the various sorts of connections that exist between ideas however he does not immediately show what this principle might be hume 1974320321 in the first part hume discusses how the objects of inquiry are either relations of ideas or matters of fact which is roughly the distinction between analytic and synthetic propositions the former he tells the reader are proved by demonstration while the latter are given through experience hume 1974322 in explaining how matters of fact are entirely a product of experience he dismisses the notion that they may be arrived at through a priori reasoning for hume every effect only follows its cause arbitrarilythey are entirely distinct from one another hume 1974324 in part two hume inquires into how anyone can justifiably believe that experience yields any conclusions about the world when it is asked what is the nature of all our reasonings concerning matter of fact the proper answer seems to be that they are founded on the relation of cause and effect when again it is asked what is the foundation of all our reasonings and conclusions concerning that relation it may be replied in one word experience but if we still carry on our sifting humor and ask what is the foundation of all conclusions from experience this implies a new question which may be of more difficult solution and explication hume 1974328 he shows how a satisfying argument for the validity of experience can be based neither on demonstration since it implies no contradiction that the course of nature may change nor experience since that would be a circular argument hume 1974330332 here he is describing what would become known as the problem of induction for hume we assume that experience tells us something about the world because of habit or custom which human nature forces us to take seriously this is also presumably the principle that organizes the connections between ideas indeed one of the many famous passages of the inquiry was on the topic of the incorrigibility of human custom in a later chapter he wrote the great subverter of pyrrhonism or the excessive principles of skepticism is action and employment and the occupations of common life these principles may flourish and triumph in the schools where it is indeed difficult if not impossible to refute them but as soon as they leave the shade and by the presence of the real objects which actuate our passions and sentiments are put in opposition to the more powerful principles of our nature they vanish like smoke and leave the most determined skeptic in the same condition as other mortals hume 1974425 in the second part he provides an account of beliefs he explains that the difference between belief and fiction is that the former produces a certain feeling of confidence which the latter doesnt hume 1974340 this short chapter begins with the notions of probability and chance for him probability means a higher chance of occurring and brings about a higher degree of subjective expectation in the viewer by chance he means all those particular comprehensible events which the viewer considers possible in accord with their experience however further experience takes these equal chances and forces the imagination to observe that certain chances arise more frequently than others these gentle forces upon the imagination cause the viewer to have strong beliefs in outcomes this effect may be understood as another case of custom or habit taking past experience and using it to predict the future hume 1974346348 by necessary connection hume means the power or force which necessarily ties one idea to another he rejects the notion that any sensible qualities are necessarily conjoined since that would mean we could know something prior to experience unlike his predecessors berkeley and locke hume rejects the idea that volitions or impulses of the will may be inferred to necessarily connect to the actions they produce by way of some sense of the power of the will he reasons that i if we knew the nature of this power then the mindbody divide would seem totally unmysterious to us ii if we had immediate knowledge of this mysterious power then we would be able to intuitively explain why it is that we can control some parts of our bodies eg our hands or tongues and not others eg the liver or heart iii we have no immediate knowledge of the powers which allow an impulse of volition to create an action eg of the muscles and nerves and animal spirits which are the immediate cause of an action hume 1974353354 he produces like arguments against the notion that we have knowledge of these powers as they affect the mind alone hume 1974355356 he also argues in brief against the idea that causes are mere occasions of the will of some gods a view associated with the philosopher nicolas malebranche hume 1974356359 having dispensed with these alternative explanations he identifies the source of our knowledge of necessary connections as arising out of observation of constant conjunction of certain impressions across many instances in this way people know of necessity through rigorous custom or habit and not from any immediate knowledge of the powers of the will hume 1974361 he then produces three explanations for how we account for causation  when all objects or events of one kind are immediately followed by objects or events of another kind  where if there had been no object of the first kind we would never have seen an object of the second kind  where the appearance of the first object forces ones mind to think about the second one hume 1974362 here hume tackles the problem of how liberty may be reconciled with metaphysical necessity otherwise known as a compatibilist formulation of free will hume believes that all disputes on the subject have been merely verbal argumentsthat is to say arguments which are based on a lack of prior agreement on definitions he first shows that it is clear that most events are deterministic but human actions are more controversial however he thinks that these too occur out of necessity since an outside observer can see the same regularity that he would in a purely physical system to show the compatibility of necessity and liberty hume defines liberty as the ability to act on the basis of ones will eg the capacity to will ones actions but not to will ones will he then shows quite briefly how determinism and free will are compatible notions and have no bad consequences on ethics or moral life hume insists that the conclusions of the enquiry will be very powerful if they can be shown to apply to animals and not just humans he believed that animals were able to infer the relation between cause and effect in the same way that humans do through learned expectations hume 1974384 he also notes that this inferential ability that animals have is not through reason but custom alone hume concludes that there is an innate faculty of instincts which both beasts and humans share namely the ability to reason experimentally through custom nevertheless he admits humans and animals differ in mental faculties in a number of ways including differences in memory and attention inferential abilities ability to make deductions in a long chain ability to grasp ideas more or less clearly the human capacity to worry about conflating unrelated circumstances a sagely prudence which arrests generalizations a capacity for a greater inner library of analogies to reason with an ability to detach oneself and scrap ones own biases and an ability to converse through language and thus gain from the experience of others testimonies hume 1974385 footnote 17 the next topic which hume strives to give treatment is that of the reliability of human testimony and of the role that testimony plays a part in epistemology this was not an idle concern for hume depending on its outcome the entire treatment would give the epistemologist a degree of certitude in the treatment of miracles true to his empirical thesis hume tells the reader that though testimony does have some force it is never quite as powerful as the direct evidence of the senses that said he provides some reasons why we may have a basis for trust in the testimony of persons because a human memory can be relatively tenacious and b because people are inclined to tell the truth and ashamed of telling falsities needless to say these reasons are only to be trusted to the extent that they conform to experience hume 1974389 and there are a number of reasons to be skeptical of human testimony also based on experience if a testimonies conflict one another b there are a small number of witnesses c the speaker has no integrity d the speaker is overly hesitant or bold or e the speaker is known to have motives for lying then the epistemologist has reason to be skeptical of the speakers claims hume 1974390 there is one final criterion that hume thinks gives us warrant to doubt any given testimony and that is f if the propositions being communicated are miraculous hume understands a miracle to be any event which contradicts the laws of nature he argues that the laws of nature have an overwhelming body of evidence behind them and are so well demonstrated to everyones experience that any deviation from those laws necessarily flies in the face of all evidence hume 1974391392 moreover he stresses that talk of the miraculous has no surface validity for four reasons first he explains that in all of history there has never been a miracle which was attested to by a wide body of disinterested experts second he notes that human beings delight in a sense of wonder and this provides a villain with an opportunity to manipulate others third he thinks that those who hold onto the miraculous have tended towards barbarism finally since testimonies tend to conflict with one another when it comes to the miraculousthat is one mans religious miracle may be contradicted by another mans miracleany testimony relating to the fantastic is selfdenunciating hume 1974393398 still hume takes care to warn that historians are generally to be trusted with confidence so long as their reports on facts are extensive and uniform however he seems to suggest that historians are as fallible at interpreting the facts as the rest of humanity thus if every historian were to claim that there was a solar eclipse in the year 1600 then though we might at first naively regard that as in violation of natural laws wed come to accept it as a fact but if every historian were to assert that queen elizabeth was observed walking around happy and healthy after her funeral and then interpreted that to mean that they had risen from the dead then wed have reason to appeal to natural laws in order to dispute their interpretation hume 1974400402 hume continues his application of epistemology to theology by an extended discussion on heaven and hell the brunt of this chapter allegedly narrates the opinions not of hume but of one of humes anonymous friends who again presents them in an imagined speech by the philosopher epicurus his friend argues that though it is possible to trace a cause from an effect it is not possible to infer unseen effects from a cause thus traced the friend insists then that even though we might postulate that there is a first cause behind all thingsgodwe cant infer anything about the afterlife because we dont know anything of the afterlife from experience and we cant infer it from the existence of god hume 1974408 hume offers his friend an objection if we see an unfinished building then cant we infer that it has been created by humans with certain intentions and that it will be finished in the future his friend concurs but indicates that there is a relevant disanalogy that we cant pretend to know the contents of the mind of god while we can know the designs of other humans hume seems essentially persuaded by his friends reasoning hume 1974412414 the first section of the last chapter is organized as an outline of various skeptical arguments the treatment includes the arguments of atheism cartesian skepticism light skepticism and rationalist critiques of empiricism hume shows that even light skepticism leads to crushing doubts about the world which  while they ultimately are philosophically justifiable  may only be combated through the nonphilosophical adherence to custom or habit he ends the section with his own reservations towards cartesian and lockean epistemologies in the second section he returns to the topic of hard skepticism by sharply denouncing it for here is the chief and most confounding objection to excessive skepticism that no durable good can ever result from it while it remains in its full force and vigor we need only ask such a skeptic what his meaning is and what he proposes by all these curious researches he is immediately at a loss and knows not what to answer a pyrrhonian cannot expect that his philosophy will have any constant influence on the mind or if it had that its influence would be beneficial to society on the contrary he must acknowledge if he will acknowledge anything that all human life must perish were his principles universally and steadily to prevail hume 1974426 he concludes the volume by setting out the limits of knowledge once and for all when we run over libraries persuaded of these principles what havoc must we make if we take in our hand any volume of divinity or school metaphysics for instance let us ask does it contain any abstract reasoning concerning quantity or number no does it contain any experimental reasoning concerning matter of fact and existence no commit it then to the flames for it can contain nothing but sophistry and illusion,0,16591,2820
2950,anyone can whistle,arthur laurents,,[],the story is set in an imaginary american town that has gone bankrupt the only place in town doing good business is the local sanitarium known as the cookie jar whose inmates look much healthier than the disgruntled townspeople im like the bluebird all the money is in the hands of cora hoover hooper the stylish ruthless mayoress and her cronies  comptroller schub treasurer cooley and police chief magruder cora appears carried in a litter by her backup singers and admits that she can accept anything except unpopularity me and my town the scheming comptroller schub tells her that he has a plan to save her administration and the town promising its highly unethical he tells her to meet him at the rock on the edge of town at the rock a local mother mrs schroeder tries to tell her child baby joan to come down from the rock when baby joan licks it  and a spring of water begins flowing from it the town instantly proclaims a miracle and cora and her council eagerly anticipate tourist dollars as they boast of the waters curative powers miracle song it is soon revealed to cora that the miracle is a fake controlled by a pump inside the rock the only person in town who doubts the miracle is fay apple an eternally skeptical young nurse from the cookie jar who refuses to believe in miracles she appears at the rock with all fortynine of the inmates or cookies in tow intending to let them take some of the water schub realizes that if they drink the water and do not change people will discover the fake as he tries to stop fay the inmates mingle with the townspeople until no one can guess who is who fay disappears and hiding from the police admits that she hopes for one miracle  for a hero who can come and deliver the town from the madness there wont be trumpets cora arrives on the scene with the cookie jars manager dr detmold but he says that fay has taken the records to identify the inmates he tells cora that he is expecting a new assistant who might help them at that moment a mysterious stranger j bowden hapgood arrives asking for directions to the cookie jar he is instantly taken for the new assistant asked to identify the missing cookies hapgood begins questioning random people and sorting them into two groups group a and group one but refuses to divulge which group is which the town council becomes suspicious of this and try to force the truth out but hapgood questions them until they begin to doubt their own sanity cora is too caught up with his logic to care simple as the extended musical sequence ends the lights black out except for a spotlight on hapgood who announces to the audience you are all mad seconds later the stage lights are restored the stage set has vanished and the cast is revealed in theater seats holding programs applauding the audience as act two opens the two groups are now in bitter rivalry over who is the normal group a1 march another stranger a french woman in a feathered coat appears it is really fay apple in disguise she introduces herself as the lady from lourdes a professional miracle inspector come to investigate the miracle as schub runs off to warn cora fay seeks out hapgood in his hotel and the two seduce each other in the style of a french romantic film come play wiz me fay tries to get hapgoods help in exposing the miracle hapgood however sees through her disguise and wants to question her first fay refuses to take her wig off and confesses to him that this disguise left over from a college play is the only way she can break out of her rigid and cynical persona she begins to hope however that hapgood may be the one who can help her learn to be free anyone can whistle meanwhile the two groups continue to march and cora trying to give a speech realizes that hapgood has stolen her limelight a parade in town she and schub plan an emergency meeting at her house back at the hotel hapgood comes up with an idea telling fay to destroy the inmates records that way fay can be free of them and they can stop pretending when fay is reluctant hapgood produces a record of his own  he is her fiftieth cookie he is a practicing idealist who after years of attempted heroism is tired of crusading and has come to the cookie jar to retire inspired by his record fay begins to tear the records up as she does the cookies appear and begin to dance everybody says dont act three begins with cora at her house with her council schub has put the miracle on hiatus but announces that they can easily turn the town against hapgood by blaming him for it the group celebrates their alliance ive got you to lean on a mob quickly forms outside the hotel and hapgood and fay still disguised take refuge under the rock discovering the fraud cora and the council confront them at that moment cora receives a telegram from the governor warning that if the quota of fortynine cookies is not filled she will be impeached schub tells her that since hapgood never said who is normal or not they can arrest anyone at random until the quota is filled fay tries to get hapgood to expose the miracle but he warns her no one will believe it is a fake because it works as a miracle should fay wants his help stopping the mayoress but he refuses since he is through with crusading although she knows she still isnt out of her shell fay angrily swears to go it alone see what it gets you as cora and the police force begin rounding up cookies fay tries to get the key away from the guards in an extended ballet sequence the cookie chase as it ends fay is captured and dr detmold suddenly recognizes her fay tells the townspeople about the fake miracle but the town refuses to believe her detmold tells cora that even without the records fay can identify the inmates from memory cora warns that she will arrest fortynine people normal or not and fay helplessly identifies all the cookies except hapgood she tells him the world needs people like him and hapgood cant turn himself in he asks fay to come with him but she still cant bring herself to break free parting ways they reflect on what they briefly shared with so little to be sure of word comes of a new miracle two towns over of a statue with a warm heart soon the town is all but deserted and cora is again upstaged again schub has the answer  since the cookie jar is still successful they can turn the entire town into one big cookie jar cora realizes she and schub are meant for each other and they dance off together as fay resumes work detmolds real new assistant arrives and fay is horrified to realize that she is even more practical rigid and disbelieving than fay herself and the new nurse marches the cookies off to the next town to disprove the new miracle horrified at seeing what she might become fay returns to the rock calling for hapgood when he doesnt answer she tries to whistle  and succeeds in blowing a shrill ugly whistle hapgood appears again saying thats good enough for me as they embrace the water begins flowing from the rock  a true miracle this time finale,0,6990,1290
4331,book of joshua,,,[],chapter 1 is the first of three important moments in joshua marked with major speeches and reflections by the main characters here first god and then joshua make speeches about the goal of conquest of the promised land at chapter 12 joshua looks back on the conquest and at chapter 23 joshua gives a speech about what must be done if israel is to live in peace in the land god commissions joshua to take possession of the land and warns him to keep faith with the covenant gods speech foreshadows major themes of the book the crossing of the jordan and conquest of the land its distribution and the imperative need for obedience to the law joshuas own immediate obedience is seen in his speeches to the israelite commanders and to the transjordanian tribes and the transjordanians affirmation of joshuas leadership echoes yahwehs assurances of victory the israelites cross the jordan through the miraculous intervention of god and his ark and are circumcised at gibeathhaaraloth translated as hill of foreskins renamed gilgal in memory gilgal sounds like gallothi i have removed but is more likely to translate as circle of standing stones the conquest begins in canaan with jericho followed by ai central canaan after which joshua builds an altar to yahweh at mt ebal northern canaan and renews the covenant the covenant ceremony has elements of a divine landgrant ceremony similar to ceremonies known from mesopotamia the narrative now switches to the south the gibeonites trick the israelites into entering into an alliance with them by saying they are not canaanites this prevents the israelites from exterminating them but they are enslaved instead an alliance of amorite kingdoms headed by the canaanite king of jerusalem is defeated with yahwehs miraculous help and the enemy kings are hanged on trees the deuteronomist author may have used the thenrecent 701nbspbce campaign of the assyrian king sennacherib in judah as his model the hanging of the captured kings is in accordance with assyrian practice of the 8th century with the south conquered the narrative moves to the northern campaign a powerful multinational or more accurately multiethnic coalition headed by the king of hazor the most important northern city is defeated with yahwehs help and hazor captured and destroyed chapter 111623 summarises the campaign joshua has taken the entire land and the land had rest from war chapter 12 lists the vanquished kings on both sides of the jordan having described how the israelites and joshua have carried out the first of their gods commands the story now turns to the second to put the people in possession of the land this section is a covenantal land grant yahweh as king is issuing each tribe its territory the cities of refuge and levitical cities are attached to the end since it is necessary for the tribes to receive their grants before they allocate parts of it to others the transjordanian tribes are dismissed affirming their loyalty to yahweh joshua charges the leaders of the israelites to remain faithful to yahweh and the covenant warning of judgement should israel leave yahweh and follow other gods joshua meets with all the people and reminds them of yahwehs great works for them and of the need to love yahweh alone joshua performs the concluding covenant ceremony and send the people to their inheritance,0,3339,558
4332,book of ezra,,,[],for the bible text see bible gateway opens at niv version or see king james version the book of ezra consists of ten chapters chapters 16 covering the period from the decree of cyrus to the dedication of the second temple are told in the third person chapters 710 dealing with the mission of ezra are told largely in the first person the book contains several documents presented as historical inclusions chapters 16 documents included in the text in italics 1 decree of cyrus first version cyrus inspired by god returns the temple vessels to sheshbazzar prince of judah and directs the israelites to return to jerusalem with him and rebuild the temple 2 42360 exiles with men servants women servants and singing men and women return from babylon to jerusalem and judah under the leadership of zerubbabel and jeshua the high priest 3 jeshua the high priest and zerubbabel build the altar and celebrate the feast of tabernacles in the second year the foundations of the temple are laid and the dedication takes place with great rejoicing 4 letter of the samaritans to artaxerxes and reply of artaxerxes the enemies of judah and benjamin offer to help with the rebuilding but are rebuffed they then work to frustrate the builders down to the reign of darius the officials of samaria write to king artaxerxes warning him that jerusalem is being rebuilt and the king orders the work to stop thus the work on the house of god in jerusalem came to a standstill until the second year of the reign of darius king of persia 5 tattenais letter to darius through the exhortations of the prophets haggai and zechariah zerubbabel and joshua recommence the building of the temple tattenai satrap over both judah and samaria writes to darius warning him that jerusalem is being rebuilt and advising that the archives be searched to discover the decree of cyrus 6 decree of cyrus second version and decree of darius darius finds the decree directs tattenai not to disturb the jews in their work and exempts them from tribute and supplies everything necessary for the offerings the temple is finished in the month of adar in the sixth year of darius and the israelites assemble to celebrate its completion chapters 710 7 letter of artaxerxes to ezra artaxerxes rescript king artaxerxes is moved by god to commission ezra to inquire about judah and jerusalem with regard to the law of your god and to appoint magistrates and judges to administer justice to all the people of transeuphratesall who know the laws of your god artaxerxes gives ezra much gold and directs all persian officials to aid him 8 ezra gathers a large body of returnees and much gold and silver and precious vessels for the temple and camps by a canal outside babylon there he discovers he has no levites and so sends messengers to gather some the exiles then return to jerusalem where they distribute the gold and silver and offer sacrifices to god 9 ezra is informed that some of the jews already in jerusalem have married nonjewish women ezra is appalled at this proof of sin and prays to god o god of israel you are righteous we are left this day as a remnant here we are before you in our guilt though because of it not one of us can stand in your presence 10 despite the opposition of some of their number the israelites assemble and send away their foreign wives and children,0,3335,588
4376,book of numbers,,,[],god orders moses in the wilderness of sinai to number those able to bear armsmdashof all the men from twenty years old and upward and to appoint princes over each tribe 603550 israelites are found to be fit for military service in chapter 26 a generation later and after approximately forty years of wandering the desert the lord orders a second census 601730 men are counted the tribe of levi is exempted from military service and therefore not included in the census totals moses consecrates the levites for the service of the tabernacle in the place of the firstborn sons who hitherto had performed that service the levites are divided into three families the gershonites the kohathites and the merarites each under a chief and all headed by one prince eleazar son of aaron preparations are then made for resuming the march to the promised land various ordinances and laws are decreed the first journey of the israelites after the tabernacle had been constructed is commenced the people murmur against god and are punished by fire moses complains of the stubbornness of the israelites and is ordered to choose seventy elders to assist him in the government of the people miriam and aaron insult moses at hazeroth which angers god miriam is punished with leprosy and is shut out of camp for seven days at the end of which the israelites proceed to the desert of paran twelve spies are sent out into canaan and come back to report to moses joshua and caleb two of the spies tell that the land is abundant and is flowing with milk and honey the other spies say that it is inhabited by giants and the israelites refuse to enter the land yahweh decrees that the israelites will be punished for their loss of faith by having to wander in the wilderness for 40 years moses is ordered to make plates to cover the altar with the two hundred fifty censers left after the destruction of korahs band the children of israel murmur against moses and aaron on account of the death of korahs men and are stricken with the plague with 14700 perishing aaron and his family are declared by god to be responsible for any iniquity committed in connection with the sanctuary the levites are again appointed to help in the keeping of the tabernacle the levites are ordered to surrender to the priests a part of the tithes taken to them miriam dies at kadesh barnea and the israelites set out for moab on canaans western border the israelites blame moses for the lack of water moses is ordered by god to speak to a rock but disobeys and is punished by the announcement that he shall not enter canaan the king of edom refuses permission to the israelites to pass through his land and they go round it aaron dies on mount hor the israelites are bitten by fiery flying serpents for speaking against god and moses a brazen serpent is made to ward off these serpents the israelites arrive on the plains of moab a new census gives the total number of males from twenty years and upward as 601730 and the number of the levites from a month old and upward as 23000 the land shall be divided by lot the daughters of zelophehad their father having no sons are to share in the allotment moses is ordered to appoint joshua as his successor prescriptions for the observance of the feasts and the offerings for different occasions are enumerated moses orders the israelites to massacre the people of midian the reubenites and the gadites request moses to assign them the land east of the jordan moses grants their request after they promise to help in the conquest of the land west of the jordan the land east of the jordan is divided among the tribes of reuben gad and the halftribe of manasseh moses recalls the stations at which the israelites halted during their forty years wanderings and instructs the israelites to exterminate the canaanites and destroy their idols the boundaries of the land are spelled out the land is to be divided under the supervision of eleazar joshua and twelve princes one of each tribe,0,3983,709
4381,book of ruth,,,[],during the time of the judges when there was a famine an israelite family from bethlehemelimelech his wife naomi and their sons mahlon and chilionemigrate to the nearby country of moab elimelech dies and the sons marry two moabite women mahlon marries ruth and chilion marries orpah the two sons of naomi then die themselves naomi decides to return to bethlehem she tells her daughtersinlaw to return to their own mothers and remarry orpah reluctantly leaves however ruth says entreat me not to leave you or to turn back from following you for wherever you go i will go and wherever you lodge i will lodge your people shall be my people and your god my god where you die i will die and there will i be buried the lord do so to me and more also if anything but death parts you and me ruth 11617 nkjv the two women return to bethlehem it is the time of the barley harvest and in order to support her motherinlaw and herself ruth goes to the fields to glean the field she goes to belongs to a man named boaz who is kind to her because he has heard of her loyalty to her motherinlaw ruth tells her motherinlaw of boazs kindness and she gleans in his field through the remainder of the harvest season boaz is a close relative of naomis husbands family he is therefore obliged by the levirate law to marry mahlons widow ruth in order to carry on his family line naomi sends ruth to the threshing floor at night and tells her to uncover the feet of the sleeping boaz ruth does so boaz awakes and askswho are you ruth identifies herself then asks boaz to spread his cloak over her the phrase spread your cloak was a womans way of asking for marriage ezekiel 168 for a man to spread his cloak over a woman showed acquisition of that woman boaz states he is willing to redeem ruth via marriage but informs ruth that there is another male relative who has the first right of redemption the next morning boaz discusses the issue with the other male relative ploni almoni soandso before the town elders the other male relative is unwilling to jeopardize the inheritance of his own estate by marrying ruth and so relinquishes his right of redemption thus allowing boaz to marry ruth they transfer the property and redeem it by the nearer kinsman taking off his sandal and handing it over to boaz ruth 4718 boaz and ruth get married and have a son named obed who by levirate customs is also considered a son or heir to elimelech and thus naomi in the genealogy which concludes the story it is pointed out that obed is the father of jesse and thus the grandfather of david this also places ruth among davids ancestors,0,2601,482
4382,book of esther,,,[],ahasuerus ruler of a massive persian empire holds a lavish party initially for his court and dignitaries and afterwards for all inhabitants of the capital city shushan ahasuerus orders the queen vashti to display her beauty before the guests she refuses worried all women will learn from this ahasuerus removes her as queen and has a royal decree sent across the empire that men should be the ruler of their households and should speak their own native tongue ahasuerus then orders all beautiful young girls to be presented to him so he can choose a new queen to replace vashti one of these is the orphan esther whose jewish name is hadassah after the death of her parents she is being fostered by her cousin mordecai she finds favor in the kings eyes and is made his new queen esther does not reveal that she is jewish shortly afterwards mordechai discovers a plot by courtiers bigthan and teresh to assassinate ahasuerus the conspirators are apprehended and hanged and mordechais service to the king is recorded ahasuerus appoints haman as his prime minister mordechai who sits at the palace gates falls into hamans disfavor as he refuses to bow down to him having found out that mordechai is jewish haman plans to kill not just mordechai but all the jews in the empire he obtains ahasuerus permission to execute this plan against payment of ten thousand talents of silver which the king declines to accept and rather allows him to execute his plan on principle and he casts lots to choose the date on which to do thisthe thirteenth of the month of adar on that day everyone in the empire is free to massacre the jews and despoil their property when mordechai finds out about the plans he and all jews mourn and fast mordechai informs esther what has happened and tells her to intercede with the king she is afraid to break the law and go to the king unsummoned this action would incur the death penalty mordechai tells her that she must she orders mordechai to have all jews fast for three days together with her and on the third day she goes to ahasuerus who stretches out his sceptre to her which shows that she is not to be punished she invites him to a feast in the company of haman during the feast she asks them to attend a further feast the next evening meanwhile haman is again offended by mordechai and consults with his friends at his wifes suggestion he builds a gallows for mordechai that night ahasuerus suffers from insomnia and when the court records are read to him to help him sleep he learns of the services rendered by mordechai in the previous plot against his life ahasuerus is told that mordechai has not received any recognition for saving the kings life just then haman appears to ask the king to hang mordechai but before he can make this request king ahasuerus asks haman what should be done for the man that the king wishes to honor thinking that the man that the king is referring to is himself haman says that the man should be dressed in the kings royal robes and led around on the kings royal horse while a herald calls see how the king honours a man he wishes to reward to his horror and surprise the king instructs haman to do so to mordechai after leading mordechais parade he returns in mourning to his wife and friends who suggest his downfall has begun immediately after ahasuerus and haman attend esthers second banquet at which she reveals that she is jewish and that haman is planning to exterminate her people including her overcome by rage ahasuerus leaves the room meanwhile haman stays behind and begs esther for his life falling upon her in desperation the king comes back in at this moment and thinks haman is assaulting the queen this makes him angrier than before and he orders haman hanged on the gallows that haman had prepared for mordechai the previous decree against the jews cannot be annulled but the king allows the jews to defend themselves during attacks as a result on 13 adar five hundred attackers and hamans ten sons are killed in shushan followed by a jewish slaughter of seventyfive thousand persians although they took no plunder esther sends a letter instituting an annual commemoration of the jewish peoples redemption in a holiday called purim lots ahasuerus remains very powerful and continues reigning with mordechai assuming a prominent position in his court,0,4332,766
4449,book of hosea,,,[],first hosea was directed by god to marry a promiscuous woman of illrepute and he did so marriage here is symbolic of the covenantal relationship between god and israel however israel has been unfaithful to god by following other gods and breaking the commandments which are the terms of the covenant hence israel is symbolized by a harlot who violates the obligations of marriage to her husband second hosea and his wife gomer have a son god commands that the son be named jezreel this name refers to a valley in which much blood had been shed in israels history especially by the kings of the northern kingdom see i kings 21 and ii kings 92135 the naming of this son was to stand as a prophecy against the reigning house of the northern kingdom that they would pay for that bloodshed jezreels name means god sows third the couple have a daughter god commands that she be named loruhamah unloved or pity or pitied on to show israel that although god will still have pity on the southern kingdom god will no longer have pity on the northern kingdom its destruction is imminent in the niv translation the omitting of the word him leads to speculation as to whether loruhamah was the daughter of hosea or one of gomers lovers james mays however says that the failure to mention hoseas paternity this is hardly an implication of gomers adultery fourth a son is born to gomer it is questionable whether this child was hoseas for god commands that his name be loammi not my people or more simply not mine the child bore this name of shame to show that the northern kingdom would also be shamed for its people would no longer be known as gods people also god says that i am not your i am in other words god changes his own name in connection with his current relationship with israel a brief outline of the concepts presented in the book of hosea exist below  chapters 12 account of hoseas marriage with gomer biographically which is a metaphor for the relationship with yahweh and israel  chapter 3 account of hoseas marriage autobiographically this is possibly a marriage to different women  chapters 4149 oracle judging israel ephraim in particular for not living up to the covenant no further breakdown of ideas is clear in 4149 following this the prophecy is made that someday this will all be changed that god will indeed have pity on israel chapter two describes a divorce this divorce seems to be the end of the covenant between god and the northern kingdom however it is probable that this was again a symbolic act in which hosea divorced gomer for infidelity and used the occasion to preach the message of gods rejection of the northern kingdom he ends this prophecy with the declaration that god will one day renew the covenant and will take israel back in love in chapter three at gods command hosea seeks out gomer once more either she has sold herself into slavery for debt or she is with a lover who demands money in order to give her up because hosea has to buy her back he takes her home but refrains from sexual intimacy with her for many days to symbolize the fact that israel will be without a king for many years but that god will take israel back even at a cost to himself chapters 414 spell out the allegory at length chapters 13 speaks of hoseas family and the issues with gomer chapters 410 contain a series of oracles or prophetic sermons showing exactly why god is rejecting the northern kingdom what the grounds are for the divorce chapter 11 is gods lament over the necessity of giving up the northern kingdom which is a large part of the people of israel whom god loves god promises not to give them up entirely then in chapter 12 the prophet pleads for israels repentance chapter 13 foretells the destruction of the kingdom at the hands of assyria because there has been no repentance in chapter 14 the prophet urges israel to seek forgiveness and promises its restoration while urging the utmost fidelity to god matthew 213 cites hoseas prophecy in that god would call his son out of egypt as foretelling the flight into egypt and return to israel of joseph mary and the infant jesus christ the capital of the northern kingdom in 722 bc all the members of the upper classes and many of the ordinary people were taken captive and carried off to live as prisoners of war,0,4293,776
