Modelo,Accuracy,Precision,Recall,F1,BalancedAccuracy,GMean,GMeanMicro,AUPRC
lgbm_auprc,0.98 (0.98-0.99) ± 0.00,0.86 (0.82-0.90) ± 0.03,0.78 (0.75-0.83) ± 0.03,0.82 (0.79-0.86) ± 0.03,0.78 (0.75-0.83) ± 0.03,0.75 (0.71-0.81) ± 0.04,0.98 (0.98-0.99) ± 0.00,0.70 (0.66-0.76) ± 0.04
lgbm_base,0.98 (0.98-0.98) ± 0.00,0.90 (0.83-0.95) ± 0.04,0.69 (0.67-0.73) ± 0.03,0.76 (0.73-0.79) ± 0.03,0.69 (0.67-0.73) ± 0.03,0.62 (0.58-0.69) ± 0.04,0.98 (0.98-0.98) ± 0.00,0.63 (0.59-0.65) ± 0.03
lgbm_chi_10k,0.98 (0.98-0.98) ± 0.00,0.88 (0.85-0.91) ± 0.03,0.69 (0.64-0.71) ± 0.03,0.75 (0.70-0.77) ± 0.03,0.69 (0.64-0.71) ± 0.03,0.61 (0.53-0.64) ± 0.05,0.98 (0.98-0.98) ± 0.00,0.64 (0.61-0.66) ± 0.02
lgbm_chi_10k_rus_20,0.98 (0.98-0.98) ± 0.00,0.84 (0.80-0.87) ± 0.03,0.74 (0.70-0.78) ± 0.03,0.78 (0.74-0.81) ± 0.03,0.74 (0.70-0.78) ± 0.03,0.69 (0.63-0.74) ± 0.04,0.98 (0.98-0.98) ± 0.00,0.64 (0.57-0.69) ± 0.04
logreg_auprc,0.99 (0.98-0.99) ± 0.00,0.92 (0.85-0.97) ± 0.04,0.76 (0.73-0.81) ± 0.03,0.82 (0.78-0.87) ± 0.03,0.76 (0.73-0.81) ± 0.03,0.72 (0.69-0.78) ± 0.04,0.99 (0.98-0.99) ± 0.00,0.76 (0.73-0.80) ± 0.02
logreg_base,0.99 (0.98-0.99) ± 0.00,0.86 (0.83-0.89) ± 0.02,0.83 (0.80-0.88) ± 0.03,0.84 (0.82-0.88) ± 0.03,0.83 (0.80-0.88) ± 0.03,0.82 (0.78-0.87) ± 0.04,0.99 (0.98-0.99) ± 0.00,0.73 (0.68-0.79) ± 0.05
logreg_chi_10k,0.98 (0.98-0.99) ± 0.00,0.84 (0.82-0.88) ± 0.03,0.83 (0.79-0.86) ± 0.03,0.83 (0.81-0.87) ± 0.02,0.83 (0.79-0.86) ± 0.03,0.81 (0.77-0.85) ± 0.04,0.98 (0.98-0.99) ± 0.00,0.73 (0.67-0.78) ± 0.05
logreg_chi_10k_rus_20,0.98 (0.98-0.98) ± 0.00,0.81 (0.79-0.83) ± 0.02,0.84 (0.82-0.86) ± 0.02,0.82 (0.81-0.84) ± 0.01,0.84 (0.82-0.86) ± 0.02,0.83 (0.80-0.85) ± 0.03,0.98 (0.98-0.98) ± 0.00,0.72 (0.66-0.78) ± 0.06
nb_auprc,0.98 (0.98-0.98) ± 0.00,0.98 (0.93-0.99) ± 0.03,0.62 (0.60-0.65) ± 0.02,0.68 (0.65-0.72) ± 0.02,0.62 (0.60-0.65) ± 0.02,0.48 (0.44-0.55) ± 0.04,0.98 (0.98-0.98) ± 0.00,0.71 (0.62-0.75) ± 0.05
nb_base,0.96 (0.95-0.97) ± 0.01,0.68 (0.65-0.70) ± 0.02,0.90 (0.84-0.94) ± 0.04,0.74 (0.70-0.77) ± 0.02,0.90 (0.84-0.94) ± 0.04,0.89 (0.84-0.94) ± 0.04,0.96 (0.95-0.97) ± 0.01,0.73 (0.68-0.81) ± 0.05
nb_chi_10k,0.98 (0.98-0.99) ± 0.00,0.83 (0.82-0.85) ± 0.01,0.81 (0.76-0.84) ± 0.03,0.82 (0.79-0.84) ± 0.02,0.81 (0.76-0.84) ± 0.03,0.79 (0.72-0.83) ± 0.04,0.98 (0.98-0.99) ± 0.00,0.72 (0.66-0.80) ± 0.05
nb_chi_10k_rus_20,0.98 (0.98-0.99) ± 0.00,0.82 (0.79-0.84) ± 0.02,0.84 (0.82-0.87) ± 0.02,0.83 (0.81-0.85) ± 0.02,0.84 (0.82-0.87) ± 0.02,0.83 (0.80-0.86) ± 0.02,0.98 (0.98-0.99) ± 0.00,0.73 (0.66-0.81) ± 0.05
