Modelo,Accuracy,Precision,Recall,F1,BalancedAccuracy,GMean,GMeanMicro,ROC_AUC,k
LogisticRegression,0.95 (0.95-0.96) ± 0.01,0.67 (0.65-0.68) ± 0.01,0.91 (0.87-0.93) ± 0.03,0.73 (0.71-0.75) ± 0.02,0.91 (0.87-0.93) ± 0.03,0.91 (0.87-0.93) ± 0.03,0.95 (0.95-0.96) ± 0.01,0.97 (0.95-0.98) ± 0.01,100.0
LightGBM,0.99 (0.98-0.99) ± 0.00,0.92 (0.88-0.99) ± 0.04,0.76 (0.69-0.81) ± 0.05,0.82 (0.75-0.86) ± 0.04,0.76 (0.69-0.81) ± 0.05,0.72 (0.61-0.79) ± 0.07,0.99 (0.98-0.99) ± 0.00,0.97 (0.96-0.98) ± 0.01,100.0
LogisticRegression,0.97 (0.96-0.97) ± 0.00,0.70 (0.69-0.71) ± 0.01,0.92 (0.89-0.94) ± 0.02,0.77 (0.76-0.78) ± 0.01,0.92 (0.89-0.94) ± 0.02,0.92 (0.88-0.94) ± 0.02,0.97 (0.96-0.97) ± 0.00,0.97 (0.96-0.99) ± 0.01,200.0
LightGBM,0.98 (0.98-0.99) ± 0.00,0.93 (0.87-0.99) ± 0.05,0.72 (0.62-0.76) ± 0.06,0.78 (0.68-0.82) ± 0.06,0.72 (0.62-0.76) ± 0.06,0.65 (0.49-0.73) ± 0.09,0.98 (0.98-0.99) ± 0.00,0.97 (0.96-0.97) ± 0.00,200.0
LogisticRegression,0.97 (0.97-0.97) ± 0.00,0.71 (0.70-0.72) ± 0.01,0.91 (0.89-0.93) ± 0.02,0.78 (0.77-0.78) ± 0.01,0.91 (0.89-0.93) ± 0.02,0.91 (0.89-0.93) ± 0.02,0.97 (0.97-0.97) ± 0.00,0.97 (0.96-0.99) ± 0.01,300.0
LightGBM,0.98 (0.98-0.99) ± 0.00,0.92 (0.87-0.99) ± 0.05,0.69 (0.62-0.76) ± 0.06,0.76 (0.68-0.82) ± 0.06,0.69 (0.62-0.76) ± 0.06,0.61 (0.49-0.73) ± 0.09,0.98 (0.98-0.99) ± 0.00,0.95 (0.91-0.97) ± 0.03,300.0
LogisticRegression,0.97 (0.97-0.98) ± 0.00,0.73 (0.71-0.74) ± 0.01,0.90 (0.88-0.93) ± 0.02,0.79 (0.78-0.81) ± 0.01,0.90 (0.88-0.93) ± 0.02,0.90 (0.87-0.93) ± 0.03,0.97 (0.97-0.98) ± 0.00,0.97 (0.95-0.99) ± 0.01,400.0
LightGBM,0.98 (0.98-0.99) ± 0.00,0.94 (0.88-0.99) ± 0.05,0.66 (0.61-0.72) ± 0.05,0.73 (0.67-0.78) ± 0.05,0.66 (0.61-0.72) ± 0.05,0.56 (0.46-0.67) ± 0.08,0.98 (0.98-0.99) ± 0.00,0.95 (0.92-0.98) ± 0.02,400.0
LogisticRegression,0.97 (0.97-0.98) ± 0.00,0.74 (0.73-0.76) ± 0.01,0.89 (0.85-0.93) ± 0.03,0.80 (0.78-0.82) ± 0.02,0.89 (0.85-0.93) ± 0.03,0.89 (0.84-0.93) ± 0.04,0.97 (0.97-0.98) ± 0.00,0.97 (0.95-0.98) ± 0.01,500.0
LightGBM,0.98 (0.98-0.98) ± 0.00,0.94 (0.86-0.99) ± 0.05,0.63 (0.58-0.68) ± 0.04,0.69 (0.63-0.75) ± 0.05,0.63 (0.58-0.68) ± 0.04,0.50 (0.41-0.59) ± 0.07,0.98 (0.98-0.98) ± 0.00,0.94 (0.89-0.97) ± 0.03,500.0
LogisticRegression,0.98 (0.97-0.98) ± 0.00,0.76 (0.74-0.78) ± 0.02,0.89 (0.85-0.94) ± 0.03,0.81 (0.79-0.84) ± 0.02,0.89 (0.85-0.94) ± 0.03,0.88 (0.84-0.93) ± 0.03,0.98 (0.97-0.98) ± 0.00,0.97 (0.95-0.98) ± 0.01,600.0
LightGBM,0.98 (0.98-0.98) ± 0.00,0.94 (0.88-0.99) ± 0.05,0.63 (0.60-0.65) ± 0.02,0.69 (0.65-0.72) ± 0.03,0.63 (0.60-0.65) ± 0.02,0.50 (0.44-0.55) ± 0.05,0.98 (0.98-0.98) ± 0.00,0.93 (0.89-0.97) ± 0.03,600.0
LogisticRegression,0.98 (0.98-0.98) ± 0.00,0.76 (0.74-0.78) ± 0.01,0.88 (0.84-0.92) ± 0.04,0.81 (0.79-0.84) ± 0.02,0.88 (0.84-0.92) ± 0.04,0.87 (0.83-0.92) ± 0.04,0.98 (0.98-0.98) ± 0.00,0.97 (0.95-0.98) ± 0.01,700.0
LightGBM,0.98 (0.98-0.98) ± 0.00,0.94 (0.88-0.99) ± 0.05,0.60 (0.57-0.64) ± 0.02,0.66 (0.61-0.71) ± 0.04,0.60 (0.57-0.64) ± 0.02,0.45 (0.37-0.52) ± 0.05,0.98 (0.98-0.98) ± 0.00,0.94 (0.89-0.97) ± 0.03,700.0
LogisticRegression,0.98 (0.98-0.98) ± 0.00,0.78 (0.76-0.79) ± 0.01,0.88 (0.84-0.92) ± 0.03,0.82 (0.80-0.84) ± 0.02,0.88 (0.84-0.92) ± 0.03,0.87 (0.83-0.92) ± 0.04,0.98 (0.98-0.98) ± 0.00,0.97 (0.95-0.98) ± 0.01,800.0
LightGBM,0.98 (0.98-0.98) ± 0.00,0.96 (0.89-0.99) ± 0.05,0.60 (0.56-0.68) ± 0.04,0.66 (0.59-0.76) ± 0.06,0.60 (0.56-0.68) ± 0.04,0.44 (0.33-0.59) ± 0.09,0.98 (0.98-0.98) ± 0.00,0.92 (0.87-0.95) ± 0.03,800.0
LogisticRegression,0.98 (0.98-0.98) ± 0.00,0.78 (0.76-0.79) ± 0.01,0.87 (0.84-0.91) ± 0.03,0.82 (0.80-0.83) ± 0.01,0.87 (0.84-0.91) ± 0.03,0.86 (0.83-0.91) ± 0.03,0.98 (0.98-0.98) ± 0.00,0.97 (0.95-0.98) ± 0.01,900.0
LightGBM,0.98 (0.98-0.98) ± 0.00,0.95 (0.91-0.99) ± 0.04,0.59 (0.57-0.61) ± 0.01,0.65 (0.61-0.67) ± 0.02,0.59 (0.57-0.61) ± 0.01,0.42 (0.37-0.46) ± 0.04,0.98 (0.98-0.98) ± 0.00,0.93 (0.92-0.97) ± 0.02,900.0
LogisticRegression,0.98 (0.98-0.98) ± 0.00,0.79 (0.77-0.82) ± 0.02,0.86 (0.82-0.91) ± 0.04,0.82 (0.80-0.84) ± 0.01,0.86 (0.82-0.91) ± 0.04,0.85 (0.80-0.91) ± 0.04,0.98 (0.98-0.98) ± 0.00,0.97 (0.95-0.98) ± 0.01,1000.0
LightGBM,0.98 (0.98-0.98) ± 0.00,0.95 (0.86-0.99) ± 0.06,0.59 (0.54-0.64) ± 0.03,0.64 (0.57-0.71) ± 0.05,0.59 (0.54-0.64) ± 0.03,0.41 (0.29-0.52) ± 0.09,0.98 (0.98-0.98) ± 0.00,0.92 (0.88-0.97) ± 0.04,1000.0
